A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
96,453,527,Gregory Yoder,M,40,1277,1:16:19,01:58,230 / 842 / 1014,08:24,5:36:13,19.99,172 / 635 / 715,02:30,4:11:40,09:36,99 / 442 / 525,11:15:03
97,455,529,Uwe Lercher,M,40,1340,1:16:34,01:58,233 / 852 / 1029,06:59,5:06:36,21.92,39 / 205 / 218,03:38,4:42:03,10:45,209 / 803 / 989,11:15:48
98,460,534,Gerry Violette,M,40,1349,1:22:57,02:08,331 / 1196 / 1470,06:08,5:30:07,20.36,131 / 525 / 586,04:57,4:12:35,09:38,102 / 449 / 535,11:16:42
99,462,537,Tom Welsh,M,40,1473,1:21:14,02:06,305 / 1113 / 1364,07:29,5:33:32,20.15,152 / 586 / 659,05:16,4:09:32,09:31,95 / 422 / 499,11:17:00
100,466,541,David Ramer,M,40,1049,1:07:26,01:44,63 / 318 / 368,13:00,5:23:16,20.79,98 / 420 / 455,05:37,4:28:54,10:15,164 / 644 / 783,11:18:10
101,469,545,Paul O'connor,M,40,1390,1:20:02,02:04,293 / 1062 / 1295,09:05,5:20:28,20.97,85 / 374 / 405,06:06,4:22:54,10:02,144 / 572 / 697,11:18:33
102,486,569,Brian Lynott,M,40,1350,1:12:09,01:52,141 / 574 / 670,12:27,5:46:51,19.37,220 / 823 / 946,08:52,4:01:20,09:12,76 / 339 / 397,11:21:38
103,489,573,Stephen Enguidanos,M,40,1490,1:16:12,01:58,227 / 833 / 1002,09:15,5:50:43,19.16,236 / 883 / 1020,07:54,3:58:02,09:05,64 / 296 / 346,11:22:04
104,492,577,Zane Howard,M,40,1293,1:11:56,01:51,136 / 556 / 650,09:04,5:40:13,19.75,195 / 716 / 817,04:22,4:16:47,09:48,118 / 497 / 604,11:22:20
105,494,581,Stephen Holowesko,M,40,1258,1:14:29,01:55,191 / 746 / 888,11:49,5:32:54,20.19,147 / 575 / 645,07:16,4:16:24,09:47,116 / 486 / 591,11:22:50
106,499,587,Steven Powell,M,40,1073,1:14:17,01:55,188 / 736 / 874,07:25,5:32:56,20.18,148 / 577 / 647,03:17,4:25:17,10:07,147 / 598 / 724,11:23:09
107,504,592,Dean Mcelwain,M,40,1263,1:04:18,01:39,34 / 189 / 220,09:57,5:22:54,20.81,95 / 412 / 447,03:55,4:42:40,10:47,212 / 810 / 997,11:23:43
108,506,594,Hernando Castro,M,40,1213,1:20:24,02:04,297 / 1079 / 1318,11:13,5:33:44,20.14,156 / 592 / 666,06:08,4:13:03,09:39,103 / 453 / 542,11:24:30
109,507,595,Carlos Barreto,M,40,1212,1:15:46,01:57,219 / 810 / 975,09:42,5:41:18,19.69,197 / 741 / 845,04:56,4:13:06,09:39,104 / 455 / 544,11:24:46
110,514,606,ANDREW ROSENMAN,M,40,1109,1:13:55,01:54,180 / 715 / 850,07:09,5:29:31,20.39,127 / 517 / 574,05:09,4:30:31,10:19,168 / 664 / 808,11:26:12
111,517,609,Kenneth Betts,M,40,1137,1:10:00,01:48,98 / 453 / 529,07:01,5:26:00,20.61,110 / 464 / 510,07:32,4:36:00,10:32,182 / 721 / 887,11:26:30
