A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
56,281,325,Jaime Vigaray,M,40,-,59:29,01:32,15 / 99 / 118,,5:27:12,20.54,34 / 188 / 208,,4:45:06,10:52,141 / 647 / 787,11:18:29
57,283,327,Eugene Difiore,M,40,-,1:22:48,02:08,123 / 604 / 739,,5:27:57,20.49,35 / 192 / 212,,4:17:23,09:49,82 / 394 / 472,11:18:33
58,290,334,Dustin Baker,M,40,-,1:26:47,02:14,152 / 732 / 896,,5:36:06,19.99,55 / 262 / 286,,4:08:38,09:29,56 / 301 / 359,11:20:42
59,294,341,Jose Benito Arancibia,M,40,-,1:29:53,02:19,170 / 820 / 1004,,5:45:50,19.43,85 / 363 / 404,,3:58:21,09:05,44 / 232 / 272,11:22:02
60,299,347,Roberto Heinze,M,40,-,1:24:37,02:11,139 / 683 / 834,,5:40:12,19.75,65 / 299 / 332,,4:03:09,09:16,48 / 266 / 316,11:22:14
61,312,364,Juan Carlos Jimenez,M,40,-,1:13:42,01:54,71 / 378 / 447,,5:44:31,19.51,80 / 344 / 385,,4:11:42,09:36,64 / 333 / 398,11:26:31
62,313,365,Wolfgang Landerl,M,40,-,1:29:52,02:19,169 / 819 / 1003,,5:34:20,20.1,52 / 254 / 278,,4:13:50,09:41,73 / 354 / 423,11:26:58
63,320,375,Ricardo Sala,M,40,-,1:23:57,02:10,133 / 651 / 797,,5:32:12,20.23,44 / 232 / 254,,4:23:52,10:04,95 / 456 / 549,11:28:46
64,326,382,Rodrigo Achon,M,40,-,1:21:24,02:06,111 / 558 / 680,,5:42:24,19.63,69 / 315 / 353,,4:18:37,09:52,88 / 409 / 490,11:30:48
65,329,385,Scott Horns,M,40,-,1:05:57,01:42,29 / 171 / 207,,5:51:54,19.1,96 / 421 / 474,,4:25:38,10:08,97 / 470 / 565,11:31:24
66,332,389,Ivan Gonzalez,M,40,-,1:19:46,02:03,96 / 503 / 608,,5:33:58,20.12,51 / 250 / 273,,4:29:55,10:18,108 / 509 / 615,11:32:12
67,334,391,Pedro L?ez Carreto,M,40,-,1:20:44,02:05,102 / 529 / 644,,6:08:35,18.23,146 / 612 / 699,,3:52:38,08:52,34 / 195 / 229,11:32:21
68,335,392,David Jern,M,40,-,1:31:52,02:22,182 / 871 / 1063,,5:37:58,19.88,60 / 278 / 306,,4:13:24,09:40,71 / 348 / 416,11:32:26
69,340,397,Bryan Reid,M,40,-,1:10:35,01:49,49 / 278 / 329,,6:01:26,18.59,125 / 536 / 601,,4:13:02,09:39,68 / 342 / 409,11:33:22
70,347,404,Luis Orbegoso,M,40,-,1:35:03,02:27,209 / 997 / 1223,,5:18:26,21.1,21 / 128 / 145,,4:31:40,10:22,112 / 528 / 636,11:34:49
71,349,408,Miguel Angel Juarez,M,40,-,1:39:03,02:33,223 / 1077 / 1334,,5:55:54,18.88,107 / 463 / 523,,3:55:01,08:58,37 / 207 / 243,11:35:39
72,354,414,Rob Sorensen,M,40,-,1:28:27,02:17,160 / 775 / 948,,5:44:21,19.51,77 / 341 / 382,,4:09:52,09:32,60 / 317 / 378,11:36:45
73,356,416,Douglas Cebik,M,40,-,1:11:28,01:51,59 / 314 / 372,,5:49:32,19.23,92 / 397 / 447,,4:28:51,10:15,104 / 498 / 600,11:36:57
74,359,419,Eduardo Arriola,M,40,-,1:22:09,02:07,120 / 591 / 723,,5:47:20,19.35,88 / 376 / 420,,4:18:14,09:51,85 / 403 / 484,11:37:20
75,361,421,Luis Rafael Vazquez,M,40,-,1:27:39,02:16,156 / 755 / 922,,5:55:57,18.88,108 / 464 / 524,,4:06:35,09:24,54 / 293 / 345,11:38:12
76,364,424,Fernando Vargas De La Rosa,M,40,-,1:35:19,02:28,213 / 1008 / 1238,,5:33:04,20.18,48 / 243 / 265,,4:18:42,09:52,89 / 410 / 491,11:38:46
77,365,425,Bernardo De La Garza,M,40,-,1:35:24,02:28,214 / 1010 / 1241,,5:49:54,19.21,93 / 403 / 453,,4:04:56,09:20,53 / 281 / 332,11:38:48
